time,density1,density2,density3,density4,density5,density6,density7
1785.000000, 0.000000, 9.316770, 3.663004, 3.460208, 14.388489, 18.376723, 6.611570
1800.000000, 11.494253, 9.316770, 7.326007, 0.000000, 7.194245, 13.782542, 1.652893
1815.000000, 0.000000, 12.422360, 10.989011, 0.000000, 7.194245, 15.313936, 1.652893
1830.000000, 0.000000, 0.000000, 18.315018, 0.000000, 14.388489, 18.376723, 1.652893
1845.000000, 11.494253, 0.000000, 7.326007, 3.460208, 14.388489, 13.782542, 0.000000
1860.000000, 0.000000, 9.316770, 7.326007, 20.761246, 35.971223, 10.719755, 1.652893
1875.000000, 11.494253, 6.211180, 3.663004, 3.460208, 21.582734, 12.251149, 18.181818
1890.000000, 11.494253, 6.211180, 3.663004, 0.000000, 21.582734, 21.439510, 11.570248
1905.000000, 11.494253, 3.105590, 3.663004, 3.460208, 14.388489, 15.313936, 6.611570
1920.000000, 0.000000, 6.211180, 10.989011, 3.460208, 21.582734, 15.313936, 16.528926
1935.000000, 0.000000, 9.316770, 18.315018, 3.460208, 14.388489, 12.251149, 13.223140
1950.000000, 0.000000, 3.105590, 7.326007, 20.761246, 21.582734, 13.782542, 4.958678
1965.000000, 11.494253, 3.105590, 3.663004, 6.920415, 50.359712, 12.251149, 4.958678
1980.000000, 11.494253, 9.316770, 7.326007, 0.000000, 50.359712, 10.719755, 3.305785
1995.000000, 57.471264, 6.211180, 7.326007, 0.000000, 50.359712, 10.719755, 3.305785
2010.000000, 0.000000, 18.633540, 10.989011, 3.460208, 50.359712, 9.188361, 1.652893
2025.000000, 11.494253, 3.105590, 25.641026, 3.460208, 7.194245, 13.782542, 13.223140
2040.000000, 11.494253, 9.316770, 10.989011, 0.000000, 21.582734, 21.439510, 11.570248
2055.000000, 11.494253, 9.316770, 3.663004, 13.840830, 7.194245, 12.251149, 6.611570
2070.000000, 0.000000, 12.422360, 3.663004, 3.460208, 21.582734, 7.656968, 18.181818
2085.000000, 11.494253, 9.316770, 7.326007, 0.000000, 0.000000, 15.313936, 9.917355
2100.000000, 11.494253, 6.211180, 7.326007, 3.460208, 0.000000, 15.313936, 9.917355
2115.000000, 0.000000, 27.950311, 14.652015, 3.460208, 14.388489, 10.719755, 4.958678
2130.000000, 0.000000, 6.211180, 25.641026, 3.460208, 7.194245, 12.251149, 1.652893
2145.000000, 0.000000, 3.105590, 7.326007, 10.380623, 14.388489, 13.782542, 1.652893
2160.000000, 0.000000, 3.105590, 3.663004, 17.301038, 50.359712, 12.251149, 1.652893
2175.000000, 11.494253, 6.211180, 7.326007, 0.000000, 0.000000, 21.439510, 13.223140
2190.000000, 45.977011, 9.316770, 3.663004, 3.460208, 7.194245, 21.439510, 16.528926
2205.000000, 11.494253, 6.211180, 14.652015, 3.460208, 14.388489, 12.251149, 11.570248
2220.000000, 0.000000, 15.527950, 14.652015, 3.460208, 0.000000, 6.125574, 19.834711
